RI	Common Name	Plant source	Reference
1286	borneol acetate	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1287	p-cymen-7-ol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1289	p-cymen-7-ol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1292	thymol	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1297	perilla alcohol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1298	carvacrol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1299	carvacrol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1300	carvacrol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1302	trans-ascaridole	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1306	undecanal	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1314	2E,4E-decadienal	KOSP	current study
1339	d-elemene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1339	d-elemene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1345	7-epi-silphiperfol-5-ene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1352	a-cubebene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1352	a-cubebene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1356	eugenol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1357	eugenol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1365	neryl acetate	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1368	cyclosativene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1369	cyclosativene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1373	a-ylangene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1373	a-ylangene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1373	a-ylangene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1376	a-copaene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1376	a-copaene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1376	silphiperfol-6-ene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1377	a-copaene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1377	a-copaene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1377	a-copaene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1381	β-maaliene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1383	(E)-β-damascenone	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1384	(E)-β-damascenone	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1384	β-bourbonene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1385	β-bourbonene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1385	β-bourbonene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1385	β-bourbonene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1386	isocornene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1387	isocomene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1389	isolongifolene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1389	β-cubebene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1391	β-cubebene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1391	β-cubebene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1392	β-elemene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1392	β-elernene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1394	cis-jasmone	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1396	Z-jasmone	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1399	1,7-di-epi-a-cedrene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1402	methyleugenol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1403	italicene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1403	methyleugenol	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1404	longifolene (or p-isocornene)	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1405	β-isocomene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1408	n-dodecanal	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1410	a-gurjunene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1411	a-cedrene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1411	a-cedrene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1412	a-cedrene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1415	cis-a-bergarnotene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1419	β-caryophyllene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1419	β-caryophyllene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1419	β-caryophyllene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1419	β-caryophyllene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1420	β-caroyophyllene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1420	β-caryophyllene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1420	β-caryophyllene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1430	β-copaene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1435	trans-a-bergamotene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1437	trans-a-bergamotene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1437	trans-a-bergamotene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1437	trans-a-bergamotene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1438	trans-a-bergamotene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1440	a-guaiene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1440	aromadendrene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1446	Z-β-farnesene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1453	geranyl acetone	KOSP	current study
1454	a-humulene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1454	a-humulene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1454	a-humulene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1454	a-humulene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1455	a-humulene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1458	(E)-β-farnesene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1458	a-humulene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1459	(E)-β-farnesene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1459	sesquisabinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1461	seychellene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1462	allo-aromadendrene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1464	a-acoradiene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1469	drima-7,9(11)-diene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1473	gamma-gurjunene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1474	b-cadinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1474	gamma-gurgenene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1474	β-cadinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1475	trans-cadina-1,(6),4-diene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1476	g-muurolene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1476	g-muurolene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1477	y-rnuurolene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1479	y-curcurnene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1480	germacrene D	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1481	germacrene D	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1481	y-curcurnene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1483	AR-curcumene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1485	(E)-β-ionone	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1485	germacrene D	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1485	germacrene D	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1485	selinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1485	β-selinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1486	AR-curcumene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1486	β-selinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1488	cis-β-guaiene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1490	cis-β-guaiene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1491	cis-β-guaiene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1493	viridiflorene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1494	epi-cubebol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1495	a-zingiberene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1495	bicyclogermacrene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1495	bicyclogermacrene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
