row ID,row m/z,row retention time,GT_OE3-23_13-06-2024.CDF Peak area,
1,165.9,3.365,304.07068,
2,93.09999999999998,6.975,206.75015,
3,69.1,7.435,222.85983,
4,68.05031633275986,8.84,3063.23,
5,93.0964049526612,9.03,2609.906,
6,93.09611860534262,9.425,639.0098,
7,85.09006850824828,9.675,142674.38,
8,69.06805033166928,10.035,219.34477,
9,67.05,10.485,447.96988,
10,70.09023188596201,10.525,152.22998,
11,121.16910100359804,10.97,4986.057,
12,79.06272703985167,11.16,819.7895,
13,110.12822243541424,11.175,437.78992,
14,71.05390052507067,11.525,433.27496,
15,83.05112127039823,12.07,1333.7537,
16,71.05890751939405,12.155,163.71002,
17,79.07754107730659,12.755,726.07135,
18,137.1466158332827,12.92,411.47452,
19,79.06183363591352,13.18,6604.3057,
20,95.07541084643812,13.445,6501.49,
21,71.09744392534793,13.56,204.41528,
22,95.08441938776565,13.75,17395.066,
23,85.07452057344999,14.05,80.56511,
24,95.07554057491733,14.07,412.75546,
25,73.1,14.28,166.17957,
26,67.06118955478854,14.75,143.41501,
27,81.08645787090474,14.895,112.63044,
28,69.05,14.925,613.0095,
29,71.08407580362216,15.02,202.36559,
30,67.06703820758602,15.26,1153.306,
31,43.000093968794225,15.285,2703.0237,
32,67.05268622280818,15.65,75.85017,
33,42.999999999999986,15.915,97.28947,
34,150.14923220898405,16.16,496.87952,
35,109.17124564327929,16.235,65.99019,
36,135.15000000000006,17.255,7190.63,
37,135.15000000000006,17.6,6751.233,
39,123.17148395239813,18.275,27.730637,
38,82.05012844050371,18.28,2012.6061,
40,125.15000000000002,18.405,329.6055,
41,82.07170433088386,18.945,415.73486,
42,124.15,18.97,364.7397,
43,69.0946396865242,19.145,81.665405,
44,148.10000000000002,19.75,290.56985,
45,43.0,19.785,712.00494,
46,117.15047973851615,19.915,569.05994,
47,136.1552709203122,20.355,110.17987,
48,150.14784652714587,22.035,807.7649,
49,67.0575745915226,23.025,337.84082,
50,164.1003211838983,24.415,1545.0642,
51,204.2,24.945,666.64923,
52,69.099943741183,25.67,10593.89,
53,119.17714103008497,26.255,418.3154,
54,124.2034529118573,26.545,76.240135,
56,119.18391875981162,27.185,50.960114,
55,93.0995359099828,27.195,614.10443,
57,161.15656543120144,28.29,1086.9039,
58,69.0997881135827,28.43,2069.5012,
59,121.19999999999999,28.91,847.68024,
60,93.09460863888204,29.315,283.3698,
61,71.10000000000001,30.915,623.3741,
62,96.10000000000002,31.16,145.30983,
63,79.08621411721047,31.17,377.26926,
64,69.1,31.655,1309.2363,
65,119.19815804808424,32.245,1527.3182,
66,79.0930423214606,32.465,6769.789,
67,151.15366051276118,33.01,86.39515,
68,67.05782030203386,33.58,164.22035,
69,119.19385578197736,34.465,162.18382,
70,103.11559793577395,34.51,195.7135,
71,136.15232249074234,34.65,387.51538,
72,103.12379853648889,34.735,379.22498,
73,79.07944276687356,35.945,178.83014,
74,82.11179936763436,37.73,86.97438,
75,137.15010016129048,38.71,9492.2,
76,68.09576313277886,42.18,513.4139,
77,58.02225484764542,42.34,90.249344,
78,73.05335415981584,46.4,197.66629,
79,217.15758195369696,48.76,75.80538,
80,150.10510190327648,49.2,1817.6617,
82,161.15027322404373,49.445,32.02575,
81,81.08412308680786,49.45,435.7916,
83,83.05035014080202,49.49,2802.2783,
84,57.05100580435894,49.79,1230.1113,
85,217.14540971983502,50.195,461.39755,
86,83.05,50.92,11522.769,
87,218.1729834539814,50.92,48.34878,
88,71.1,51.06,309.2173,
89,83.05,51.125,2193.7183,
90,83.05040214343282,51.475,2989.1257,
91,83.05059724205358,52.595,1799.6606,
92,83.05013358200536,53.735,30913.89,
93,57.07852830188679,54.155,59.62482,
94,83.05255543298628,54.215,1212.3228,
95,71.10000000000001,57.125,910.7205,
