row ID,row m/z,row retention time,GT_OE2-23_13-06-2024.CDF Peak area,
1,148.10009151896782,15.795,12751.449,
2,69.1,18.275,87.88472,
3,135.10089236522697,18.295,1197.9385,
4,148.14294421129185,19.89,255819.62,
5,121.18844982598608,21.805,172.39963,
6,189.2,24.0,866.37103,
7,162.19843387766076,24.29,688.0049,
8,108.15177410071944,25.29,173.75021,
9,69.09938252320717,25.655,784.2402,
10,69.10000000000001,27.125,1062.0613,
11,161.15540415510972,28.295,10089.493,
12,121.19993519394372,28.905,5111.4062,
13,69.09973439169231,29.455,4254.3794,
14,119.19316585663758,29.86,392.99103,
15,69.09986258827008,31.65,2028.5765,
16,81.09999999999998,32.245,1289.561,
17,79.08146892783459,32.46,220.53586,
18,161.16608686504634,34.85,546.59674,
19,95.12636260378507,35.37,312.54407,
20,79.0795216475672,36.49,182.81357,
21,131.16188534141224,36.495,21.455305,
22,68.06636170307031,42.185,902.8435,
23,58.00401153161995,42.345,163.0277,
24,232.05000000000004,49.03,2377.6619,
25,43.03723869453925,53.225,46.87887,
26,148.10176416984592,55.46,3615.866,
27,71.1,57.12,240.76704,
28,57.05686583139206,72.755,79.41579,
